,Provider_Name,Address,County,City,Doses_W1,Doses_W2,Doses_W3,Doses_W4,Doses_W5,Doses_W6,Sum
30,Altus Baytown Hospital,6501 Garth Rd,HARRIS,Baytown,NA,400,NA,NA,NA,NA,400
31,Altus Baytown Hospital - Kingwood,1120 Kingwood Dr,HARRIS,Kingwood,NA,NA,200,NA,NA,NA,200
32,Altus Baytown Hospital - Porter,22678 Hwy. 59,MONTGOMERY,Porter,NA,NA,200,NA,NA,NA,200
33,Altus Houston Hospital,7215 Fairmont Pkwy,HARRIS,Pasadena,NA,500,NA,NA,NA,NA,500
34,"Alvin R Gebert, MD, PA",6130 W Parker Rd,COLLIN,Plano,NA,100,NA,NA,NA,NA,100
35,Amarillo Medical Specialists Llp,1215 S Coulter St Ste 400,POTTER,Amarillo,NA,300,NA,NA,NA,NA,300
36,Amarillo Public Health Department,1000 Martin Rd,POTTER,Amarillo,NA,NA,NA,NA,5000,NA,5000
37,"America's ER Site 001, LLC",32784 FM 2978 RD,MONTGOMERY,Magnolia,NA,400,NA,NA,NA,NA,400
38,Americas ER Site 002 LLC,13902 Spring Cypress Rd,HARRIS,Cypress,NA,100,NA,NA,NA,NA,100
39,Amigos Pharmacy 503,112 North University Avenue,LUBBOCK,Lubbock,NA,NA,NA,100,NA,NA,100
40,Amigos Pharmacy 508,2403 N Columbia St,HALE,Plainview,NA,NA,NA,100,NA,NA,100
41,Amigos Pharmacy 524,3300 I-40 East,POTTER,Amarillo,NA,NA,NA,100,NA,NA,100
42,Amistad Community Health Center,1533 S Brownlee Blvd Ste 100,NUECES,Corpus Christi,NA,1300,NA,200,NA,NA,1500
43,Angleton Primary Care,2020 East Mulberry St,BRAZORIA,Angleton,NA,NA,NA,NA,NA,100,100
44,"Annie & Chau, LP",10603 Bellaire Blvd,HARRIS,Houston,NA,500,NA,NA,NA,NA,500
45,Argenal Pediatrics And Family Care,516 N Shary Rd,HIDALGO,Mission,NA,NA,NA,100,NA,NA,100
46,Arise Austin Medical Center,3003 Bee Cave Road,TRAVIS,Austin,NA,NA,200,NA,NA,NA,200
47,Arlington Fire Department,620 W Division St.,TARRANT,Arlington,NA,3000,NA,500,NA,5000,8500
48,Arthur S Hernandez Md,88 Briggs St,BEXAR,San Antonio,NA,NA,NA,100,NA,NA,100
49,Ascension Medical Group Georgetown,3721 Williams Drive,WILLIAMSON,Georgetown,NA,NA,NA,100,NA,NA,100
50,Ascension Medical Group Seton Primary Care,15808 Ranch Road 620 N,WILLIAMSON,Austin,NA,100,NA,NA,NA,NA,100
51,Ascension Providence Hospital,6901 Medical Pkwy,MCLENNAN,Waco,NA,NA,NA,NA,1500,NA,1500
52,Ascension Seton Bastrop,630 W. Sh 71,TRAVIS,Bastrop,NA,NA,100,NA,NA,NA,100
53,Ascension Seton Health Center Buda,5235 Overpass Rd,HAYS,Buda,NA,NA,NA,NA,100,NA,100
54,Ascension Seton HIghland Lakes,3201 S. Water Street,BURNET,Burnet,NA,200,100,NA,100,NA,400
55,Ascension Seton Highland Lakes Burnet Clinic,200 John W Hoover Pkwy,BURNET,Burnet,NA,NA,NA,100,NA,NA,100
56,Ascension Seton Northwest,11113 Research Blvd,TRAVIS,Austin,NA,700,NA,NA,NA,NA,700
57,Ascension Seton Southwest,7900 FM 1826,TRAVIS,Austin,NA,200,NA,NA,NA,NA,200
58,Ashley Pediatrics Day And Night Clinic,17927 Washington Palm Dr,HIDALGO,Penitas,NA,NA,NA,100,NA,NA,100
59,Ashley Pediatrics Day And Night Clinic La Joya,328 A E. Expressway 83,HIDALGO,La Joya,NA,NA,NA,100,NA,NA,100
60,ASPG dba CHRISTUS Promptu Urgent Care,11823 Culebra Rd,BEXAR,San Antonio,NA,1000,NA,NA,NA,NA,1000
61,ASPG dba CHRISTUS Promptu Urgent Care - New Braunfels,1659 W State Highway 46,COMAL,New Braunfels,NA,2000,NA,NA,NA,NA,2000
62,Atascosa Health Center Inc.,310 W Oaklawn Rd,ATASCOSA,Pleasanton,NA,NA,NA,NA,NA,100,100
63,Atkins Express Pharmacy,2607 Hwy 281 N,BURNET,Marble Falls,NA,NA,NA,100,NA,NA,100
64,"ATKINS PHARMACY SERVICES, INC.",701 THIRD ST,BURNET,Marble Falls,NA,200,NA,NA,NA,NA,200
65,Aubrey Pharmacy,701 S Highway 377,DENTON,Aubrey,NA,100,NA,100,NA,NA,200
66,"Aurora Concepts, PLLC",233 Hurst Street,SHELBY,Center,NA,100,NA,100,NA,NA,200
67,AUSTIN EAR NOSE AND THROAT CLINIC,3705 Medical Pkwy,TRAVIS,Austin,NA,500,NA,NA,NA,NA,500
68,AUSTIN EAR NOSE AND THROAT CLINIC,4315 JAMES CASEY,TRAVIS,Austin,NA,500,NA,NA,NA,NA,500
69,"Austin Family Allergy & Asthma, PA",10801-2 N. Mopac Expwy,TRAVIS,Austin,NA,100,NA,NA,NA,NA,100
70,Austin Public Health,15 Waller Street,TRAVIS,Austin,NA,1000,NA,NA,12000,12000,25000
71,Austin Public Safety Wellness Center,517 S Pleasant Valley Rd,TRAVIS,Austin,NA,1300,NA,200,NA,NA,1500
72,Austin Radiological Association,12554 Riata Vista Circle,TRAVIS,Austin,NA,500,NA,NA,NA,NA,500
73,Austin Regional Clinic-Buda,3420 Fm 967 Ste B100,HAYS,Buda,NA,800,NA,NA,NA,NA,800
74,Austin Regional Clinic - Anderson Mill,10401 Anderson Mill Rd Ste 110b,TRAVIS,Austin,NA,500,NA,NA,NA,NA,500
75,Austin Regional Clinic - Bee Cave,15801 W Highway 71 Bldg 1,TRAVIS,Bee Cave,NA,500,NA,NA,NA,NA,500
76,Austin Regional Clinic - Cedar Park,801 E Whitestone Blvd Ste C,WILLIAMSON,Cedar Park,NA,500,NA,NA,NA,NA,500
77,Austin Regional Clinic - Far West,6835 Austin Center Blvd,TRAVIS,Austin,NA,300,NA,NA,NA,NA,300
78,Austin Regional Clinic - Hutto,151 Exchange Blvd Ste 500,WILLIAMSON,Hutto,NA,500,NA,NA,NA,NA,500
79,Austin Regional Clinic - Kelly Lane,2100 Autumn Slate Dr Ste 150,TRAVIS,Pflugerville,NA,500,NA,NA,NA,NA,500
80,Austin Regional Clinic - Kyle,4100 Everett Dr Ste 400,HAYS,Kyle,NA,300,NA,NA,NA,NA,300
81,Austin Regional Clinic - Leander,901 Crystal Falls Pkwy Ste 103,WILLIAMSON,Leander,NA,500,NA,500,NA,NA,1000
82,Austin Regional Clinic - Manor,11300 Us Highway 290 E Ste 230 Bldg 2,TRAVIS,Manor,NA,500,NA,NA,NA,NA,500
83,Austin Regional Clinic - Pflugerville,15803 Windermere Dr Ste 103,TRAVIS,Pflugerville,NA,500,NA,NA,NA,NA,500
84,Austin Regional Clinic - Quarry Lake,4515 Seton Center Pkwy Ste 220,TRAVIS,Austin,NA,500,NA,500,NA,NA,1000
85,Austin Regional Clinic - Round Rock,940 Hesters Crossing Rd,WILLIAMSON,Round Rock,NA,300,NA,NA,NA,NA,300
86,Austin Regional Clinic - Sendero Springs,1025 Sendero Springs Dr Ste 120,WILLIAMSON,Round Rock,NA,500,NA,NA,NA,NA,500
87,Austin Regional Clinic - South,3828 S 1st St,TRAVIS,Austin,NA,300,NA,NA,NA,NA,300
88,Austin State Hospital,NA,TRAVIS,Austin,975,NA,NA,NA,NA,NA,975
89,"AV Rehab, LLC",2902 S. 77 Sunshine Strip,CAMERON,Harlingen,NA,100,NA,NA,NA,NA,100
90,Avenue 360 Health And Wellness Humble,9816 Memorial Blvd Ste 120,HARRIS,Humble,NA,NA,NA,100,NA,NA,100
91,Bacliff Community Health Center,1136 Grand Ave,GALVESTON,Bacliff,NA,NA,NA,NA,NA,100,100
92,Ballinger Hospital Clinic,2001 Hutchins Ave Ste C,RUNNELS,Ballinger,NA,200,NA,NA,NA,NA,200
93,Ballinger Memorial Hospital District,608 Ave B,RUNNELS,Ballinger,NA,NA,100,NA,NA,NA,100
94,Bandera Family Health,7579 N Loop 1604 W Ste 100,BEXAR,San Antonio,NA,100,NA,NA,NA,NA,100
95,Baptist Hospitals of Southeast Texas,3080 College St,JEFFERSON,Beaumont,975,975,100,NA,NA,NA,2050
96,Baptist Medical Center,111 Dallas Street,BEXAR,San Antonio,975,975,NA,NA,NA,NA,1950
97,Bastrop Family Practice,275 Jackson St,BASTROP,Bastrop,NA,NA,NA,NA,NA,100,100
98,Bay Colony Pediatrics,2251 Fm 646 Rd W,GALVESTON,Dickinson,NA,NA,NA,100,NA,NA,100
99,Baylor College Of Medicine,1 Baylor Plz Stop Bcm-667,HARRIS,Houston,NA,3000,NA,1000,NA,NA,4000
100,Baylor Orthopedic And Spine Hospital At Arlington,707 Highlander Blvd,TARRANT,Arlington,NA,200,100,NA,NA,NA,300
101,Baylor Scott & White Hospital - Grapevine,NA,TARRANT,Grapevine,975,NA,NA,NA,NA,NA,975
102,Baylor Scott & White Medical Center - College Station,700 Scott And White Dr,BRAZOS,College Station,NA,NA,200,NA,NA,NA,200
103,Baylor Scott & White Medical Center - College Station,NA,BRAZOS,College Station,975,NA,NA,NA,NA,NA,975
104,Baylor Scott & White Medical Center - Plano,4700 Alliance Blvd,COLLIN,Plano,NA,700,100,NA,1000,975,2775
105,Baylor Scott & White Medical Center Sunnyvale,231 S Collins Rd,DALLAS,Sunnyvale,NA,400,100,NA,NA,NA,500
106,Baylor Scott & White Pharmacy #101,3600 Gaston Avenue,DALLAS,Dallas,NA,900,NA,NA,NA,NA,900
107,Baylor Scott And White All Saints Medical Center - Fo ,1400 8th Ave,TARRANT,Fort Worth,NA,NA,900,NA,NA,NA,900
108,Baylor Scott And White All Saints Medical Center - Fort Worth,NA,TARRANT,Fort Worth,975,NA,NA,NA,NA,NA,975
109,Baylor Scott and White Healthcare,2005 W. Wallace,SAN SABA,San Saba,NA,100,NA,NA,NA,NA,100
110,BAYLOR SCOTT AND WHITE HQ,2401 S 31st Street,BELL,Temple,NA,NA,NA,1950,NA,NA,1950
111,Baylor Scott and White Hsptl Grapevine,1650 W College St Ste 119,TARRANT,Grapevine,NA,NA,100,NA,NA,NA,100
112,Baylor Scott and White MC Mckinney,5252 W University Dr,COLLIN,McKinney,NA,800,100,NA,100,NA,1000
113,Baylor Scott And White Medical Center - Centennial,12505 Lebanon Rd,COLLIN,Frisco,NA,300,100,NA,100,NA,500
114,Baylor Scott And White Medical Center - Irving,NA,DALLAS,Irving,975,NA,NA,NA,NA,NA,975
115,Baylor Scott And White Medical Center - Lake Pointe,6800 Scenic Dr,ROCKWALL,Rowlett,NA,700,NA,NA,NA,NA,700
116,Baylor Scott And White Medical Center - Waxahachie,2400 N. I-35e,ELLIS,Waxahachie,NA,700,NA,NA,NA,NA,700
117,Baylor Scott And White Round Rock Family Medicine,425 University Blvd Ste 500,WILLIAMSON,Round Rock,NA,500,NA,NA,NA,NA,500
118,Baylor Scott White Health MC Round Rock,300 University Blvd,WILLIAMSON,Round Rock,NA,NA,400,NA,NA,NA,400
119,Baylor Scott White Health MC Round Rock,NA,WILLIAMSON,Round Rock,975,NA,NA,NA,NA,NA,975
120,Baylor Scott White Institute Rehabilation Frisco,2990 Legacy Drive,DENTON,Frisco,NA,NA,300,NA,NA,NA,300
121,Baylor Scott White Med Ctr Hillcrest,100 Hillcrest Medical Blvd,MCLENNAN,Waco,NA,NA,600,NA,NA,NA,600
122,Baylor Scott White Med Ctr Hillcrest,NA,MCLENNAN,Waco,975,NA,NA,NA,NA,NA,975
123,Baylor Surgicare at Blue Star LLC,3800 Gaylord Parkway,DENTON,Frisco,NA,NA,NA,NA,100,NA,100
124,Baylor University Med Cntr Dallas,3500 Gaston Ave,DALLAS,Dallas,NA,NA,2975,NA,1000,4875,8850
125,Baylor University Med Cntr Dallas,NA,DALLAS,Dallas,2925,NA,NA,NA,NA,NA,2925
126,Baylor University Student Health Services,209 Speight Ave Fl 2,MCLENNAN,Waco,NA,200,NA,100,NA,NA,300
127,BaylorScottandWhiteMedicalCenter-Temple,2401 S 31st Street,BELL,Temple,3900,975,500,NA,NA,NA,5375
128,Bayside Clinic,621 S. Ross Sterling,CHAMBERS,Anahuac,NA,NA,NA,NA,NA,100,100
129,Beaumont Elite Emergency Center LLC,4004 College Street,JEFFERSON,Beaumont,NA,NA,NA,NA,100,NA,100
130,Beaumont Family Practice,6450 Folsom Dr,JEFFERSON,Beaumont,NA,500,NA,NA,NA,NA,500
131,Beaumont Health Department,3040 College St,JEFFERSON,Beaumont,NA,NA,100,NA,NA,NA,100
132,Bell County Public Health District,509 S 9th St,BELL,Temple,NA,NA,NA,NA,3900,NA,3900
133,"Bellaire Dermatology Associates, PA",6565 West Loop South,HARRIS,Bellaire,NA,500,NA,300,NA,NA,800
134,Bellmead Community Clinic,3400 Bellmead Dr,MCLENNAN,Waco,NA,NA,NA,NA,NA,100,100
135,Bells Hill Community Clinic,911 S 20th St,MCLENNAN,Waco,NA,NA,NA,NA,NA,100,100
136,Bellville Medical Center,44 N. Cummings St.,AUSTIN,Bellville,NA,NA,NA,100,100,NA,200
137,BELTLINE SURGERY CENTER,2858 N. BELTLINE ROAD,DALLAS,Sunnyvale,NA,NA,NA,100,NA,NA,100
138,Ben Taub General Hospital,1504 Taub Loop,HARRIS,Houston,1950,975,2075,1950,300,NA,7250
139,BERG & MINIGUTTI PLLC,8000 ELDORADO PKWY,COLLIN,McKinney,NA,500,NA,200,NA,NA,700
140,Berkeley Eye Center,3100 Weslayan,HARRIS,Houston,NA,500,NA,NA,NA,NA,500
141,Best Value Hometown Pharmacy,1702 Santa Fe Dr,PARKER,Weatherford,NA,NA,NA,100,NA,NA,100
142,Best Value Renshaw Pharmacy,800 Medical Center Dr Ste A,WISE,Decatur,NA,NA,NA,200,NA,NA,200
143,Best Value Ridglea Pharmacy,5932 Lovell Ave,TARRANT,Fort Worth,NA,NA,NA,100,NA,NA,100
144,Best Value Royce's Pharmacy,502 N Main St,JOHNSON,Cleburne,NA,NA,NA,100,NA,NA,100
145,Best Value West Pharmacy,124 W Renfro,JOHNSON,Burleson,NA,NA,NA,100,NA,NA,100
146,Big Bend Regional Health Center,2600 Highway North 118,BREWSTER,Alpine,NA,NA,NA,NA,200,NA,200
147,Big Spring State Hospital,1901 N Us Highway 87,HOWARD,Big Spring,NA,500,100,NA,200,NA,800
148,Bis Community Clinic,22140 Highway 90 N,GRIMES,Bedias,NA,NA,NA,NA,100,NA,100
149,Bluitt-Flowers Clinic,303 E Overton Rd,DALLAS,Dallas,NA,NA,NA,NA,200,NA,200
150,Bowen Pediatrics,810 E Redd Rd Ste D,EL PASO,El Paso,NA,NA,NA,200,NA,NA,200
151,Brady Medical Clinic,2010 Nine Rd,MCCULLOCH,Brady,NA,NA,NA,200,NA,NA,200
152,Brazoria County Health Department,434 E Mulberry St,BRAZORIA,Angleton,NA,NA,NA,100,NA,700,800
153,Brazoria County Health Department-Lake Jackson,202 Peach St,BRAZORIA,Lake Jackson,NA,NA,NA,100,NA,300,400
154,BRAZORIA COUNTY HEALTH DEPT ALVIN,260 GEORGE ST,BRAZORIA,Alvin,NA,300,NA,NA,NA,700,1000
155,"Brazoria County Health Dept., Pearland",2436 South Grand Blvd.,BRAZORIA,Pearland,NA,NA,NA,NA,NA,300,300
156,Brazos County Health And Wellness,300 E Wm J Bryan Pkwy Ste 200,BRAZOS,Bryan,NA,NA,NA,100,NA,NA,100
157,Breckenridge Medical Center,101 S. Hartford,STEPHENS,Breckenridge,NA,NA,NA,100,NA,NA,100
158,Brenham Drug Partners,2105 S Day Street,WASHINGTON,Brenham,NA,NA,NA,100,NA,NA,100
159,Briggs Family Medicine,910 Gruene Rd,COMAL,New Braunfels,NA,100,NA,NA,NA,NA,100
160,Brookshire's Pharmacy #019,1105 W South Commerce St,VAN ZANDT,Wills Point,NA,100,NA,NA,NA,NA,100
161,Brookshire's Pharmacy 008,747 Us Highway 259 N,GREGG,Kilgore,NA,100,NA,NA,NA,NA,100
162,Brookshire's Pharmacy 011,807 E Tyler St,HENDERSON,Athens,NA,100,NA,NA,NA,NA,100
163,Brookshire's Pharmacy 013,809 Gilmer Rd.,HOPKINS,Sulphur Springs,NA,100,NA,100,NA,NA,200
164,Brookshire's Pharmacy 015,1478 N Beaulah St,WOOD,Hawkins,NA,100,NA,100,NA,NA,200
165,Brookshire's Pharmacy 9,2020 Roseland Blvd,SMITH,Tyler,NA,100,NA,NA,NA,NA,100
166,Brookshire Brothers Pharmacy #64,34692 Us Highway 96 S,JASPER,Buna,NA,100,NA,NA,NA,NA,100
167,Brookshire Brothers Pharmacy #9,5249 Franz Rd,HARRIS,Katy,NA,500,NA,NA,NA,NA,500
168,Brookshires Pharmacy 002,706 W Main St,VAN ZANDT,Van,NA,100,NA,NA,NA,NA,100
169,Brookshires Pharmacy 005,1203 Us Highway 380,WISE,Bridgeport,NA,100,NA,100,NA,NA,200
170,Brookshires Pharmacy 014,925 Clarksville St,LAMAR,Paris,NA,100,NA,100,NA,NA,200
171,Brookshires Pharmacy 023,1400 W. Moore St.,KAUFMAN,Terrell,NA,100,NA,100,NA,NA,200
172,Brookshires Pharmacy 028,2734 E 5th St,SMITH,Tyler,NA,100,NA,NA,NA,NA,100
173,Brookshires Pharmacy 030,2107 S Loop 256,ANDERSON,Palestine,NA,100,NA,NA,NA,NA,100
174,Brookshires Pharmacy 031,1224 N Pacific St,WOOD,Mineola,NA,100,NA,100,NA,NA,200
175,Brookshires Pharmacy 032,880 E State Highway 243,VAN ZANDT,Canton,NA,100,NA,NA,NA,NA,100
176,Brookshires Pharmacy 033,205 W Frank St,VAN ZANDT,Grand Saline,NA,100,NA,NA,NA,NA,100
177,Brookshires Pharmacy 035,2235 S Washington St,KAUFMAN,Kaufman,NA,100,NA,100,NA,NA,200
178,Brookshires Pharmacy 036,1310 N Brazos St,HILL,Whitney,NA,100,NA,100,NA,NA,200
179,Brookshires Pharmacy 039,20100 Hwy. 155 S.,SMITH,Flint,NA,100,NA,NA,NA,NA,100
180,Brookshires Pharmacy 064,1200 S 3rd St,HENDERSON,Mabank,NA,200,NA,100,NA,NA,300
181,Brookshires Pharmacy 1,301 S Chestnut St,ANGELINA,Lufkin,NA,500,NA,NA,NA,NA,500
182,Brookshires Pharmacy 10,300 W Us Highway 84,FREESTONE,Fairfield,NA,400,NA,NA,NA,NA,400
183,Brookshires Pharmacy 100,9295 Hwy 6,BOSQUE,Meridian,NA,100,NA,100,NA,NA,200
184,Brookshires Pharmacy 1001,202 N Main St,HARDIN,Lumberton,NA,400,NA,NA,NA,NA,400
185,Brookshires Pharmacy 1002,204 Broadway,CHAMBERS,Winnie,NA,200,NA,NA,NA,NA,200
186,Brookshires Pharmacy 1004,210 N Main St,BRAZOS,Bryan,NA,500,NA,NA,NA,NA,500
187,Brookshires Pharmacy 1005,810 S State St,MADISON,Madisonville,NA,100,NA,NA,NA,NA,100
188,Brookshires Pharmacy 1007,31303 Fm 2920 Rd Ste H,HARRIS,Waller,NA,300,NA,NA,NA,NA,300
189,Brookshires Pharmacy 1020,2075 Worth St,SABINE,Hemphill,NA,500,NA,NA,NA,NA,500
190,Brookshires Pharmacy 106,125 Hall Rd,DALLAS,Seagoville,NA,100,NA,NA,NA,NA,100
191,Brookshires Pharmacy 108,Po Box 1709,ELLIS,Red Oak,NA,100,NA,100,NA,NA,200
192,Brookshires Pharmacy 109,609 Linda Dr,MORRIS,Daingerfield,NA,100,NA,100,NA,NA,200
193,Brookshires Pharmacy 109 - Pilot Point,750 S Highway 377,DENTON,Pilot Point,NA,200,NA,100,NA,NA,300
194,Brookshires Pharmacy 11 - Brenham,303 N Austin Pkwy,WASHINGTON,Brenham,NA,300,NA,100,NA,NA,400
195,Brookshires Pharmacy 112,1111 N Hwy 287,HOUSTON,Grapeland,NA,200,NA,NA,NA,NA,200
196,Brookshires Pharmacy 117,501 E Broadway St,NOLAN,Sweetwater,NA,100,NA,200,NA,NA,300
197,Brookshires Pharmacy 119,601 Palo Pinto St,PARKER,Weatherford,NA,100,NA,NA,NA,NA,100
198,Brookshires Pharmacy 125,511 N Stewart St,TARRANT,Azle,NA,100,100,NA,NA,NA,200
199,Brookshires Pharmacy 126,Po Box 587,PARKER,Springtown,NA,100,NA,100,NA,NA,200
200,Brookshires Pharmacy 127,11205 N State Hwy 289,GRAYSON,Pottsboro,NA,100,200,NA,NA,NA,300
201,Brookshires Pharmacy 13 - Hearne,400 W 2nd St,ROBERTSON,Hearne,NA,200,NA,NA,NA,NA,200
202,Brookshires Pharmacy 130,590 W Main St,HARRISON,Hallsville,NA,300,NA,100,NA,NA,400
203,Brookshires Pharmacy 131,1325 W White St,COLLIN,Anna,NA,100,100,100,NA,NA,300
204,Brookshires Pharmacy 133,1001 Joshua Station St,JOHNSON,Joshua,NA,100,NA,100,NA,NA,200
205,Brookshires Pharmacy 14 - Newton,701 W Court St,NEWTON,Newton,NA,100,NA,200,NA,NA,300
206,Brookshires Pharmacy 16,603 E Houston St,LIBERTY,Cleveland,NA,500,NA,NA,NA,NA,500
207,Brookshires Pharmacy 17,210 E Cherokee St,CHEROKEE,Jacksonville,NA,300,NA,NA,NA,NA,300
208,Brookshires Pharmacy 18,520 S Magnolia St,TYLER,Woodville,NA,400,NA,NA,NA,NA,400
209,Brookshires Pharmacy 19 - Rockdale,725 W Cameron Ave,MILAM,Rockdale,NA,300,NA,NA,NA,NA,300
210,Brookshires Pharmacy 2,1216 South St,NACOGDOCHE,Nacogdoches,NA,200,NA,NA,NA,NA,200
211,Brookshires Pharmacy 21,1253 W Church St,POLK,Livingston,NA,500,NA,NA,NA,NA,500
212,Brookshires Pharmacy 22,425 N Main St,CHEROKEE,Rusk,NA,200,NA,NA,NA,NA,200
213,Brookshires Pharmacy 23 - Trinity,515 S Robb St,TRINITY,Trinity,NA,300,NA,NA,NA,NA,300
214,Brookshires Pharmacy 24,100 S Home St,POLK,Corrigan,NA,100,NA,NA,NA,NA,100
215,Brookshires Pharmacy 25,1807 West Frank,ANGELINA,Lufkin,NA,400,NA,NA,NA,NA,400
216,Brookshires Pharmacy 26,1117 N Main St,LEON,Jewett,NA,100,NA,NA,NA,NA,100
217,Brookshires Pharmacy 270,1380 N Main St,ORANGE,Vidor,NA,200,NA,100,NA,100,400
218,Brookshires Pharmacy 28 - San Augustin,705 W Columbia St,SAN AUGUSTIN,San Augustine,NA,300,NA,NA,NA,NA,300
219,Brookshires Pharmacy 29,333 Highway 96 S,HARDIN,Silsbee,NA,400,NA,NA,NA,NA,400
220,Brookshires Pharmacy 3,521 S MAIN,SMITH,Lindale,NA,100,NA,NA,NA,NA,100
221,Brookshires Pharmacy 30 - Madisonville,403 E Main St,MADISON,Madisonville,NA,100,NA,NA,NA,NA,100
222,Brookshires Pharmacy 32 - Center,105 Hurst St,SHELBY,Center,NA,300,NA,NA,NA,NA,300
223,Brookshires Pharmacy 33 - Huntsville,2601 11th St,WALKER,Huntsville,NA,400,NA,NA,NA,NA,400
224,Brookshires Pharmacy 35 - Diboll,223 1/2 Temple Dr,ANGELINA,Diboll,NA,400,NA,NA,NA,NA,400
225,Brookshires Pharmacy 36 - Kountze,90 W Monroe St,HARDIN,Kountze,NA,400,NA,NA,NA,NA,400
226,Brookshires Pharmacy 37,513 E Austin St,LEE,Giddings,NA,300,NA,NA,NA,NA,300
227,Brookshires Pharmacy 39 - Bellville,720 S Front St,AUSTIN,Bellville,NA,500,NA,NA,NA,NA,500
228,Brookshires Pharmacy 4,959 East Us Hwy 69,RAINS,Emory,NA,100,NA,NA,NA,NA,100
229,Brookshires Pharmacy 40,3523 1/2 Front St,WALLER,Brookshire,NA,300,NA,NA,NA,NA,300
230,Brookshires Pharmacy 42,1420 N University Dr,NACOGDOCHE,Nacogdoches,NA,500,NA,NA,NA,NA,500
231,Brookshires Pharmacy 43,403 E Highway 90,LIBERTY,Dayton,NA,200,NA,NA,NA,NA,200
232,Brookshires Pharmacy 44,455 Hwy 36 N,BURLESON,Caldwell,NA,100,NA,NA,NA,NA,100
233,Brookshires Pharmacy 45,3354 Gilmer Rd,GREGG,Longview,NA,100,NA,NA,NA,NA,100
234,Brookshires Pharmacy 45 - Jasper,1125 S Wheeler St,JASPER,Jasper,NA,500,NA,NA,NA,NA,500
